counter,region,service,endpoint, rps
0,us-west-1,a,a@POST@/spreada,74
0,us-west-1,b,b@POST@/spreadb,76
0,us-west-1,frontend,frontend@GET@/start,192
0,us-west-1,c,c@POST@/spreadc,166
0,us-west-1,a,a@POST@/spreada,287
0,us-west-1,b,b@POST@/spreadb,329
0,us-west-1,frontend,frontend@GET@/start,563
0,us-west-1,c,c@POST@/spreadc,152
0,us-west-1,a,a@POST@/spreada,345
0,us-west-1,b,b@POST@/spreadb,462
0,us-west-1,frontend,frontend@GET@/start,269
0,us-west-1,c,c@POST@/spreadc,302
0,us-west-1,a,a@POST@/spreada,371
0,us-west-1,b,b@POST@/spreadb,565
0,us-west-1,frontend,frontend@GET@/start,470
0,us-west-1,c,c@POST@/spreadc,474
0,us-west-1,a,a@POST@/spreada,149
0,us-west-1,b,b@POST@/spreadb,510
0,us-west-1,frontend,frontend@GET@/start,309
0,us-west-1,c,c@POST@/spreadc,298
0,us-west-1,a,a@POST@/spreada,615
0,us-west-1,b,b@POST@/spreadb,236
0,us-west-1,frontend,frontend@GET@/start,547
0,us-west-1,c,c@POST@/spreadc,359
0,us-west-1,a,a@POST@/spreada,569
0,us-west-1,b,b@POST@/spreadb,469
0,us-west-1,frontend,frontend@GET@/start,306
0,us-west-1,c,c@POST@/spreadc,270
0,us-west-1,a,a@POST@/spreada,741
0,us-west-1,b,b@POST@/spreadb,425
0,us-west-1,frontend,frontend@GET@/start,728
0,us-west-1,c,c@POST@/spreadc,331
0,us-west-1,a,a@POST@/spreada,562
0,us-west-1,b,b@POST@/spreadb,546
0,us-west-1,frontend,frontend@GET@/start,568
0,us-west-1,c,c@POST@/spreadc,346
0,us-west-1,a,a@POST@/spreada,661
0,us-west-1,b,b@POST@/spreadb,648
0,us-west-1,frontend,frontend@GET@/start,660
0,us-west-1,c,c@POST@/spreadc,321
0,us-west-1,a,a@POST@/spreada,613
0,us-west-1,b,b@POST@/spreadb,352
0,us-west-1,frontend,frontend@GET@/start,603
0,us-west-1,c,c@POST@/spreadc,219
0,us-west-1,a,a@POST@/spreada,486
0,us-west-1,b,b@POST@/spreadb,577
0,us-west-1,frontend,frontend@GET@/start,618
0,us-west-1,c,c@POST@/spreadc,166
0,us-west-1,a,a@POST@/spreada,773
0,us-west-1,b,b@POST@/spreadb,233
0,us-west-1,frontend,frontend@GET@/start,647
0,us-west-1,c,c@POST@/spreadc,345
0,us-west-1,a,a@POST@/spreada,630
0,us-west-1,b,b@POST@/spreadb,509
