counter,region,service,endpoint, rps
0,us-west-1,c,c@POST@/spreadc,5
0,us-west-1,d,d@POST@/spreadd,41
0,us-west-1,c,c@POST@/spreadc,129
0,us-west-1,frontend,frontend@GET@/start,90
0,us-west-1,a,a@POST@/spreada,109
0,us-west-1,b,b@POST@/spreadb,90
0,us-west-1,d,d@POST@/spreadd,119
0,us-west-1,c,c@POST@/spreadc,100
0,us-west-1,frontend,frontend@GET@/start,106
0,us-west-1,a,a@POST@/spreada,108
0,us-west-1,b,b@POST@/spreadb,104
0,us-west-1,d,d@POST@/spreadd,101
0,us-west-1,c,c@POST@/spreadc,102
0,us-west-1,frontend,frontend@GET@/start,108
0,us-west-1,a,a@POST@/spreada,99
0,us-west-1,b,b@POST@/spreadb,107
0,us-west-1,d,d@POST@/spreadd,101
0,us-west-1,c,c@POST@/spreadc,108
0,us-west-1,frontend,frontend@GET@/start,97
0,us-west-1,a,a@POST@/spreada,108
0,us-west-1,b,b@POST@/spreadb,98
0,us-west-1,d,d@POST@/spreadd,110
0,us-west-1,c,c@POST@/spreadc,124
0,us-west-1,frontend,frontend@GET@/start,128
0,us-west-1,a,a@POST@/spreada,126
0,us-west-1,b,b@POST@/spreadb,126
0,us-west-1,d,d@POST@/spreadd,129
0,us-west-1,c,c@POST@/spreadc,92
0,us-west-1,frontend,frontend@GET@/start,110
0,us-west-1,a,a@POST@/spreada,99
0,us-west-1,b,b@POST@/spreadb,113
0,us-west-1,d,d@POST@/spreadd,89
0,us-west-1,c,c@POST@/spreadc,97
0,us-west-1,frontend,frontend@GET@/start,87
0,us-west-1,a,a@POST@/spreada,94
0,us-west-1,b,b@POST@/spreadb,86
0,us-west-1,d,d@POST@/spreadd,93
0,us-west-1,c,c@POST@/spreadc,99
0,us-west-1,frontend,frontend@GET@/start,97
0,us-west-1,a,a@POST@/spreada,94
0,us-west-1,b,b@POST@/spreadb,98
0,us-west-1,d,d@POST@/spreadd,93
0,us-west-1,c,c@POST@/spreadc,91
0,us-west-1,frontend,frontend@GET@/start,86
0,us-west-1,a,a@POST@/spreada,88
0,us-west-1,b,b@POST@/spreadb,83
0,us-west-1,d,d@POST@/spreadd,95
0,us-west-1,c,c@POST@/spreadc,110
0,us-west-1,frontend,frontend@GET@/start,108
0,us-west-1,a,a@POST@/spreada,110
0,us-west-1,b,b@POST@/spreadb,110
0,us-west-1,d,d@POST@/spreadd,108
0,us-west-1,c,c@POST@/spreadc,91
0,us-west-1,frontend,frontend@GET@/start,102
0,us-west-1,a,a@POST@/spreada,95
0,us-west-1,b,b@POST@/spreadb,101
0,us-west-1,d,d@POST@/spreadd,101
0,us-west-1,c,c@POST@/spreadc,106
0,us-west-1,frontend,frontend@GET@/start,97
0,us-west-1,a,a@POST@/spreada,110
0,us-west-1,b,b@POST@/spreadb,100
0,us-west-1,d,d@POST@/spreadd,95
0,us-west-1,c,c@POST@/spreadc,88
0,us-west-1,frontend,frontend@GET@/start,89
0,us-west-1,a,a@POST@/spreada,85
0,us-west-1,b,b@POST@/spreadb,87
0,us-west-1,d,d@POST@/spreadd,92
0,us-west-1,c,c@POST@/spreadc,91
0,us-west-1,frontend,frontend@GET@/start,97
0,us-west-1,a,a@POST@/spreada,89
0,us-west-1,b,b@POST@/spreadb,95
0,us-west-1,d,d@POST@/spreadd,95
