counter,region,service,endpoint, rps
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,c,c@POST@/spreadc,0
0,us-west-1,d,d@POST@/spreadd,0
0,us-west-1,b,b@POST@/spreadb,0
0,us-west-1,a,a@POST@/spreada,60
0,us-west-1,frontend,frontend@GET@/start,186
0,us-west-1,c,c@POST@/spreadc,117
0,us-west-1,d,d@POST@/spreadd,59
0,us-west-1,b,b@POST@/spreadb,222
0,us-west-1,a,a@POST@/spreada,239
0,us-west-1,frontend,frontend@GET@/start,424
0,us-west-1,c,c@POST@/spreadc,312
0,us-west-1,d,d@POST@/spreadd,249
0,us-west-1,b,b@POST@/spreadb,151
0,us-west-1,a,a@POST@/spreada,491
0,us-west-1,frontend,frontend@GET@/start,315
0,us-west-1,c,c@POST@/spreadc,284
0,us-west-1,d,d@POST@/spreadd,243
0,us-west-1,b,b@POST@/spreadb,283
0,us-west-1,a,a@POST@/spreada,261
0,us-west-1,frontend,frontend@GET@/start,291
0,us-west-1,c,c@POST@/spreadc,293
0,us-west-1,d,d@POST@/spreadd,59
0,us-west-1,b,b@POST@/spreadb,329
0,us-west-1,a,a@POST@/spreada,195
0,us-west-1,frontend,frontend@GET@/start,121
0,us-west-1,c,c@POST@/spreadc,215
0,us-west-1,d,d@POST@/spreadd,457
0,us-west-1,b,b@POST@/spreadb,51
0,us-west-1,a,a@POST@/spreada,500
0,us-west-1,frontend,frontend@GET@/start,455
0,us-west-1,c,c@POST@/spreadc,168
0,us-west-1,d,d@POST@/spreadd,225
0,us-west-1,b,b@POST@/spreadb,512
0,us-west-1,a,a@POST@/spreada,264
0,us-west-1,frontend,frontend@GET@/start,328
0,us-west-1,c,c@POST@/spreadc,571
0,us-west-1,d,d@POST@/spreadd,217
0,us-west-1,b,b@POST@/spreadb,136
0,us-west-1,a,a@POST@/spreada,219
0,us-west-1,frontend,frontend@GET@/start,152
0,us-west-1,c,c@POST@/spreadc,55
0,us-west-1,d,d@POST@/spreadd,520
0,us-west-1,b,b@POST@/spreadb,272
0,us-west-1,a,a@POST@/spreada,321
0,us-west-1,frontend,frontend@GET@/start,476
0,us-west-1,c,c@POST@/spreadc,351
0,us-west-1,d,d@POST@/spreadd,354
0,us-west-1,b,b@POST@/spreadb,270
0,us-west-1,a,a@POST@/spreada,535
0,us-west-1,frontend,frontend@GET@/start,490
0,us-west-1,c,c@POST@/spreadc,266
0,us-west-1,d,d@POST@/spreadd,267
0,us-west-1,b,b@POST@/spreadb,208
0,us-west-1,a,a@POST@/spreada,341
0,us-west-1,frontend,frontend@GET@/start,437
0,us-west-1,c,c@POST@/spreadc,226
0,us-west-1,d,d@POST@/spreadd,617
0,us-west-1,b,b@POST@/spreadb,367
0,us-west-1,a,a@POST@/spreada,560
0,us-west-1,frontend,frontend@GET@/start,423
0,us-west-1,c,c@POST@/spreadc,176
0,us-west-1,d,d@POST@/spreadd,292
0,us-west-1,b,b@POST@/spreadb,490
0,us-west-1,a,a@POST@/spreada,348
0,us-west-1,frontend,frontend@GET@/start,256
0,us-west-1,c,c@POST@/spreadc,581
0,us-west-1,d,d@POST@/spreadd,517
0,us-west-1,b,b@POST@/spreadb,41
0,us-west-1,a,a@POST@/spreada,121
0,us-west-1,frontend,frontend@GET@/start,377
0,us-west-1,c,c@POST@/spreadc,245
0,us-west-1,d,d@POST@/spreadd,323
0,us-west-1,b,b@POST@/spreadb,80
0,us-west-1,a,a@POST@/spreada,589
0,us-west-1,frontend,frontend@GET@/start,472
0,us-west-1,c,c@POST@/spreadc,559
0,us-west-1,d,d@POST@/spreadd,277
0,us-west-1,b,b@POST@/spreadb,430
0,us-west-1,a,a@POST@/spreada,325
0,us-west-1,frontend,frontend@GET@/start,309
0,us-west-1,c,c@POST@/spreadc,266
0,us-west-1,d,d@POST@/spreadd,566
0,us-west-1,b,b@POST@/spreadb,84
0,us-west-1,a,a@POST@/spreada,582
0,us-west-1,frontend,frontend@GET@/start,538
0,us-west-1,c,c@POST@/spreadc,645
0,us-west-1,d,d@POST@/spreadd,344
0,us-west-1,b,b@POST@/spreadb,409
0,us-west-1,a,a@POST@/spreada,283
0,us-west-1,frontend,frontend@GET@/start,358
0,us-west-1,c,c@POST@/spreadc,337
0,us-west-1,d,d@POST@/spreadd,597
0,us-west-1,b,b@POST@/spreadb,170
0,us-west-1,a,a@POST@/spreada,476
0,us-west-1,frontend,frontend@GET@/start,524
0,us-west-1,c,c@POST@/spreadc,411
0,us-west-1,d,d@POST@/spreadd,300
0,us-west-1,b,b@POST@/spreadb,243
0,us-west-1,a,a@POST@/spreada,467
0,us-west-1,frontend,frontend@GET@/start,390
0,us-west-1,c,c@POST@/spreadc,470
0,us-west-1,d,d@POST@/spreadd,531
0,us-west-1,b,b@POST@/spreadb,146
0,us-west-1,a,a@POST@/spreada,451
