Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6d9fb4b7b8-6rxks,server,0,358
default,adservice-us-central-1-6d9fb4b7b8-6rxks,istio-proxy,3,85
default,adservice-us-central-1-6d9fb4b7b8-6tgc8,server,0,352
default,adservice-us-central-1-6d9fb4b7b8-6tgc8,istio-proxy,3,85
default,adservice-us-central-1-6d9fb4b7b8-wfnl2,server,0,362
default,adservice-us-central-1-6d9fb4b7b8-wfnl2,istio-proxy,3,86
default,adservice-us-east-1-55464d695d-bbzws,server,0,371
default,adservice-us-east-1-55464d695d-bbzws,istio-proxy,3,87
default,adservice-us-east-1-55464d695d-bjv88,server,0,378
default,adservice-us-east-1-55464d695d-bjv88,istio-proxy,4,84
default,adservice-us-east-1-55464d695d-r8rvb,server,0,374
default,adservice-us-east-1-55464d695d-r8rvb,istio-proxy,3,85
default,adservice-us-south-1-54756ff748-22h47,server,0,375
default,adservice-us-south-1-54756ff748-22h47,istio-proxy,4,85
default,adservice-us-south-1-54756ff748-74t47,server,0,377
default,adservice-us-south-1-54756ff748-74t47,istio-proxy,3,85
default,adservice-us-south-1-54756ff748-clssb,server,0,360
default,adservice-us-south-1-54756ff748-clssb,istio-proxy,3,87
default,adservice-us-west-1-689b4c6788-9sbpn,server,3,131
default,adservice-us-west-1-689b4c6788-9sbpn,istio-proxy,4,85
default,adservice-us-west-1-689b4c6788-mk49q,server,4,127
default,adservice-us-west-1-689b4c6788-mk49q,istio-proxy,5,84
default,adservice-us-west-1-689b4c6788-ztcqh,server,3,134
default,adservice-us-west-1-689b4c6788-ztcqh,istio-proxy,4,83
default,cartservice-us-central-1-74d8d9455d-8wsck,server,0,103
default,cartservice-us-central-1-74d8d9455d-8wsck,istio-proxy,3,90
default,cartservice-us-central-1-74d8d9455d-sjgqz,server,0,100
default,cartservice-us-central-1-74d8d9455d-sjgqz,istio-proxy,10,89
default,cartservice-us-central-1-74d8d9455d-wlm5g,server,0,102
default,cartservice-us-central-1-74d8d9455d-wlm5g,istio-proxy,3,84
default,cartservice-us-east-1-6f648bf78-9hxd8,server,0,102
default,cartservice-us-east-1-6f648bf78-9hxd8,istio-proxy,3,87
default,cartservice-us-east-1-6f648bf78-f4vtl,server,0,103
default,cartservice-us-east-1-6f648bf78-f4vtl,istio-proxy,4,86
default,cartservice-us-east-1-6f648bf78-g9j7p,server,0,99
default,cartservice-us-east-1-6f648bf78-g9j7p,istio-proxy,3,88
default,cartservice-us-south-1-756f854c9d-j69b7,server,0,103
default,cartservice-us-south-1-756f854c9d-j69b7,istio-proxy,3,85
default,cartservice-us-south-1-756f854c9d-tshc8,server,0,97
default,cartservice-us-south-1-756f854c9d-tshc8,istio-proxy,3,88
default,cartservice-us-south-1-756f854c9d-xc74b,server,0,97
default,cartservice-us-south-1-756f854c9d-xc74b,istio-proxy,3,88
default,cartservice-us-west-1-85d58c8d55-6gvrx,server,641,56
default,cartservice-us-west-1-85d58c8d55-6gvrx,istio-proxy,234,82
default,cartservice-us-west-1-85d58c8d55-fg6nd,server,327,47
default,cartservice-us-west-1-85d58c8d55-fg6nd,istio-proxy,181,83
default,cartservice-us-west-1-85d58c8d55-l6lrd,server,434,64
default,cartservice-us-west-1-85d58c8d55-l6lrd,istio-proxy,242,86
default,checkoutservice-us-central-1-6b88565bd8-6h265,server,0,9
default,checkoutservice-us-central-1-6b88565bd8-6h265,istio-proxy,5,86
default,checkoutservice-us-central-1-6b88565bd8-hspsm,server,0,9
default,checkoutservice-us-central-1-6b88565bd8-hspsm,istio-proxy,3,85
default,checkoutservice-us-central-1-6b88565bd8-tlfgn,server,0,9
default,checkoutservice-us-central-1-6b88565bd8-tlfgn,istio-proxy,4,85
default,checkoutservice-us-east-1-7999bcd856-5p8bl,server,0,9
default,checkoutservice-us-east-1-7999bcd856-5p8bl,istio-proxy,3,89
default,checkoutservice-us-east-1-7999bcd856-6wstb,server,0,9
default,checkoutservice-us-east-1-7999bcd856-6wstb,istio-proxy,4,86
default,checkoutservice-us-east-1-7999bcd856-r94rd,server,0,10
default,checkoutservice-us-east-1-7999bcd856-r94rd,istio-proxy,3,88
default,checkoutservice-us-south-1-56b559d8bd-6jncz,server,0,9
default,checkoutservice-us-south-1-56b559d8bd-6jncz,istio-proxy,3,88
default,checkoutservice-us-south-1-56b559d8bd-hx6rn,server,0,10
default,checkoutservice-us-south-1-56b559d8bd-hx6rn,istio-proxy,3,86
default,checkoutservice-us-south-1-56b559d8bd-m2x8p,server,0,9
default,checkoutservice-us-south-1-56b559d8bd-m2x8p,istio-proxy,3,85
default,checkoutservice-us-west-1-5c7bcf5864-27rnp,server,455,19
default,checkoutservice-us-west-1-5c7bcf5864-27rnp,istio-proxy,1840,96
default,checkoutservice-us-west-1-5c7bcf5864-2wgrf,server,425,21
default,checkoutservice-us-west-1-5c7bcf5864-2wgrf,istio-proxy,1230,95
default,checkoutservice-us-west-1-5c7bcf5864-tnjl7,server,515,13
default,checkoutservice-us-west-1-5c7bcf5864-tnjl7,istio-proxy,975,91
default,currencyservice-us-central-1-86d4c5f6c8-hsrls,server,0,29
default,currencyservice-us-central-1-86d4c5f6c8-hsrls,istio-proxy,5,88
default,currencyservice-us-central-1-86d4c5f6c8-k7rzb,server,0,29
default,currencyservice-us-central-1-86d4c5f6c8-k7rzb,istio-proxy,3,86
default,currencyservice-us-central-1-86d4c5f6c8-lzblx,server,0,28
default,currencyservice-us-central-1-86d4c5f6c8-lzblx,istio-proxy,3,88
default,currencyservice-us-east-1-5c597d6f48-6qfgl,server,0,29
default,currencyservice-us-east-1-5c597d6f48-6qfgl,istio-proxy,4,87
default,currencyservice-us-east-1-5c597d6f48-bl8cj,server,0,29
default,currencyservice-us-east-1-5c597d6f48-bl8cj,istio-proxy,5,88
default,currencyservice-us-east-1-5c597d6f48-crnd4,server,0,28
default,currencyservice-us-east-1-5c597d6f48-crnd4,istio-proxy,4,86
default,currencyservice-us-south-1-67999b94d7-86nk4,server,0,29
default,currencyservice-us-south-1-67999b94d7-86nk4,istio-proxy,3,89
default,currencyservice-us-south-1-67999b94d7-blfj5,server,0,29
default,currencyservice-us-south-1-67999b94d7-blfj5,istio-proxy,4,86
default,currencyservice-us-south-1-67999b94d7-x6src,server,0,29
default,currencyservice-us-south-1-67999b94d7-x6src,istio-proxy,5,88
default,currencyservice-us-west-1-6cf59dd654-6fvxw,server,245,36
default,currencyservice-us-west-1-6cf59dd654-6fvxw,istio-proxy,316,85
default,currencyservice-us-west-1-6cf59dd654-c5jhq,server,381,30
default,currencyservice-us-west-1-6cf59dd654-c5jhq,istio-proxy,227,83
default,currencyservice-us-west-1-6cf59dd654-r9x5g,server,255,34
default,currencyservice-us-west-1-6cf59dd654-r9x5g,istio-proxy,313,84
default,emailservice-us-central-1-5c79c597bf-6nvvl,server,1,41
default,emailservice-us-central-1-5c79c597bf-6nvvl,istio-proxy,4,88
default,emailservice-us-central-1-5c79c597bf-j5vrr,server,1,41
default,emailservice-us-central-1-5c79c597bf-j5vrr,istio-proxy,3,92
default,emailservice-us-central-1-5c79c597bf-m9vrj,server,1,41
default,emailservice-us-central-1-5c79c597bf-m9vrj,istio-proxy,4,88
default,emailservice-us-east-1-7bb9875699-jhnpn,server,1,41
default,emailservice-us-east-1-7bb9875699-jhnpn,istio-proxy,3,88
default,emailservice-us-east-1-7bb9875699-rszpm,server,1,41
default,emailservice-us-east-1-7bb9875699-rszpm,istio-proxy,4,88
default,emailservice-us-east-1-7bb9875699-sklfr,server,1,41
default,emailservice-us-east-1-7bb9875699-sklfr,istio-proxy,3,88
default,emailservice-us-south-1-5fc896d776-kgfmx,server,1,41
default,emailservice-us-south-1-5fc896d776-kgfmx,istio-proxy,3,87
default,emailservice-us-south-1-5fc896d776-m2xz4,server,1,41
default,emailservice-us-south-1-5fc896d776-m2xz4,istio-proxy,4,86
default,emailservice-us-south-1-5fc896d776-t52sh,server,1,41
default,emailservice-us-south-1-5fc896d776-t52sh,istio-proxy,4,86
default,emailservice-us-west-1-685b6c944-8lkdt,server,51,41
default,emailservice-us-west-1-685b6c944-8lkdt,istio-proxy,147,84
default,emailservice-us-west-1-685b6c944-975d2,server,161,42
default,emailservice-us-west-1-685b6c944-975d2,istio-proxy,320,86
default,emailservice-us-west-1-685b6c944-n45vg,server,162,42
default,emailservice-us-west-1-685b6c944-n45vg,istio-proxy,321,83
default,frontend-us-central-1-568d78db5c-htklw,server,0,11
default,frontend-us-central-1-568d78db5c-htklw,istio-proxy,3,81
default,frontend-us-central-1-568d78db5c-rbgln,server,0,11
default,frontend-us-central-1-568d78db5c-rbgln,istio-proxy,3,86
default,frontend-us-central-1-568d78db5c-xbbwf,server,0,10
default,frontend-us-central-1-568d78db5c-xbbwf,istio-proxy,5,84
default,frontend-us-east-1-675f576cc7-2vbqt,server,0,11
default,frontend-us-east-1-675f576cc7-2vbqt,istio-proxy,3,86
default,frontend-us-east-1-675f576cc7-5p8wf,server,0,11
default,frontend-us-east-1-675f576cc7-5p8wf,istio-proxy,3,83
default,frontend-us-east-1-675f576cc7-7vsg2,server,0,10
default,frontend-us-east-1-675f576cc7-7vsg2,istio-proxy,3,83
default,frontend-us-south-1-65cb786-jvgrz,server,0,11
default,frontend-us-south-1-65cb786-jvgrz,istio-proxy,3,87
default,frontend-us-south-1-65cb786-lvmp9,server,0,10
default,frontend-us-south-1-65cb786-lvmp9,istio-proxy,3,83
default,frontend-us-south-1-65cb786-nm927,server,0,11
default,frontend-us-south-1-65cb786-nm927,istio-proxy,3,83
default,frontend-us-west-1-7ff477fcc7-5fdpx,server,361,24
default,frontend-us-west-1-7ff477fcc7-5fdpx,istio-proxy,894,94
default,frontend-us-west-1-7ff477fcc7-pffx9,server,21,16
default,frontend-us-west-1-7ff477fcc7-pffx9,istio-proxy,435,94
default,frontend-us-west-1-7ff477fcc7-swnqd,server,247,23
default,frontend-us-west-1-7ff477fcc7-swnqd,istio-proxy,916,94
default,paymentservice-us-central-1-768558fc5-57m9f,server,0,26
default,paymentservice-us-central-1-768558fc5-57m9f,istio-proxy,4,86
default,paymentservice-us-central-1-768558fc5-5mzp7,server,0,27
default,paymentservice-us-central-1-768558fc5-5mzp7,istio-proxy,3,86
default,paymentservice-us-central-1-768558fc5-h8gpm,server,0,25
default,paymentservice-us-central-1-768558fc5-h8gpm,istio-proxy,4,87
default,paymentservice-us-east-1-55c88cdd5d-5bkrf,server,0,25
default,paymentservice-us-east-1-55c88cdd5d-5bkrf,istio-proxy,3,89
default,paymentservice-us-east-1-55c88cdd5d-5qnbb,server,0,25
default,paymentservice-us-east-1-55c88cdd5d-5qnbb,istio-proxy,3,87
default,paymentservice-us-east-1-55c88cdd5d-s2qnt,server,0,27
default,paymentservice-us-east-1-55c88cdd5d-s2qnt,istio-proxy,3,87
default,paymentservice-us-south-1-79d7cd7d5d-4hq4d,server,0,25
default,paymentservice-us-south-1-79d7cd7d5d-4hq4d,istio-proxy,3,87
default,paymentservice-us-south-1-79d7cd7d5d-ff5vl,server,0,25
default,paymentservice-us-south-1-79d7cd7d5d-ff5vl,istio-proxy,3,87
default,paymentservice-us-south-1-79d7cd7d5d-lhjl7,server,0,27
default,paymentservice-us-south-1-79d7cd7d5d-lhjl7,istio-proxy,3,87
default,paymentservice-us-west-1-7b579c5bbd-2hkj7,server,323,27
default,paymentservice-us-west-1-7b579c5bbd-2hkj7,istio-proxy,173,84
default,paymentservice-us-west-1-7b579c5bbd-hx9pw,server,184,30
default,paymentservice-us-west-1-7b579c5bbd-hx9pw,istio-proxy,294,85
default,paymentservice-us-west-1-7b579c5bbd-kgz5h,server,314,31
default,paymentservice-us-west-1-7b579c5bbd-kgz5h,istio-proxy,209,84
default,productcatalogservice-us-central-1-b8894564b-89xr7,server,0,10
default,productcatalogservice-us-central-1-b8894564b-89xr7,istio-proxy,4,86
default,productcatalogservice-us-central-1-b8894564b-fxf24,server,0,10
