counter,region,service,endpoint, rps
0,us-west-1,frontend,frontend@GET@/start,12
0,us-west-1,a,a@POST@/spreada,155
0,us-west-1,b,b@POST@/spreadb,173
0,us-west-1,c,c@POST@/spreadc,20
0,us-west-1,d,d@POST@/spreadd,102
0,us-west-1,frontend,frontend@GET@/start,296
0,us-west-1,a,a@POST@/spreada,424
0,us-west-1,b,b@POST@/spreadb,435
0,us-west-1,c,c@POST@/spreadc,293
0,us-west-1,d,d@POST@/spreadd,425
0,us-west-1,frontend,frontend@GET@/start,472
0,us-west-1,a,a@POST@/spreada,283
0,us-west-1,b,b@POST@/spreadb,497
0,us-west-1,c,c@POST@/spreadc,516
0,us-west-1,d,d@POST@/spreadd,546
0,us-west-1,frontend,frontend@GET@/start,412
0,us-west-1,a,a@POST@/spreada,415
0,us-west-1,b,b@POST@/spreadb,412
0,us-west-1,c,c@POST@/spreadc,418
0,us-west-1,d,d@POST@/spreadd,415
0,us-west-1,frontend,frontend@GET@/start,421
0,us-west-1,a,a@POST@/spreada,389
0,us-west-1,b,b@POST@/spreadb,375
0,us-west-1,c,c@POST@/spreadc,427
0,us-west-1,d,d@POST@/spreadd,367
0,us-west-1,frontend,frontend@GET@/start,373
0,us-west-1,a,a@POST@/spreada,359
0,us-west-1,b,b@POST@/spreadb,390
0,us-west-1,c,c@POST@/spreadc,358
0,us-west-1,d,d@POST@/spreadd,382
0,us-west-1,frontend,frontend@GET@/start,393
0,us-west-1,a,a@POST@/spreada,416
0,us-west-1,b,b@POST@/spreadb,388
0,us-west-1,c,c@POST@/spreadc,406
0,us-west-1,d,d@POST@/spreadd,396
0,us-west-1,frontend,frontend@GET@/start,393
0,us-west-1,a,a@POST@/spreada,410
0,us-west-1,b,b@POST@/spreadb,402
0,us-west-1,c,c@POST@/spreadc,402
0,us-west-1,d,d@POST@/spreadd,413
0,us-west-1,frontend,frontend@GET@/start,416
0,us-west-1,a,a@POST@/spreada,399
0,us-west-1,b,b@POST@/spreadb,412
0,us-west-1,c,c@POST@/spreadc,410
0,us-west-1,d,d@POST@/spreadd,409
0,us-west-1,frontend,frontend@GET@/start,380
0,us-west-1,a,a@POST@/spreada,371
0,us-west-1,b,b@POST@/spreadb,374
0,us-west-1,c,c@POST@/spreadc,367
0,us-west-1,d,d@POST@/spreadd,368
0,us-west-1,frontend,frontend@GET@/start,394
0,us-west-1,a,a@POST@/spreada,399
0,us-west-1,b,b@POST@/spreadb,403
0,us-west-1,c,c@POST@/spreadc,402
0,us-west-1,d,d@POST@/spreadd,406
0,us-west-1,frontend,frontend@GET@/start,408
0,us-west-1,a,a@POST@/spreada,413
0,us-west-1,b,b@POST@/spreadb,410
0,us-west-1,c,c@POST@/spreadc,423
0,us-west-1,d,d@POST@/spreadd,411
0,us-west-1,frontend,frontend@GET@/start,391
0,us-west-1,a,a@POST@/spreada,394
0,us-west-1,b,b@POST@/spreadb,420
0,us-west-1,c,c@POST@/spreadc,385
0,us-west-1,d,d@POST@/spreadd,412
0,us-west-1,frontend,frontend@GET@/start,445
0,us-west-1,a,a@POST@/spreada,433
0,us-west-1,b,b@POST@/spreadb,405
0,us-west-1,c,c@POST@/spreadc,440
0,us-west-1,d,d@POST@/spreadd,401
0,us-west-1,frontend,frontend@GET@/start,384
0,us-west-1,a,a@POST@/spreada,372
0,us-west-1,b,b@POST@/spreadb,363
0,us-west-1,c,c@POST@/spreadc,365
0,us-west-1,d,d@POST@/spreadd,371
0,us-west-1,frontend,frontend@GET@/start,346
0,us-west-1,a,a@POST@/spreada,371
0,us-west-1,b,b@POST@/spreadb,374
0,us-west-1,c,c@POST@/spreadc,362
0,us-west-1,d,d@POST@/spreadd,380
0,us-west-1,frontend,frontend@GET@/start,396
0,us-west-1,a,a@POST@/spreada,374
0,us-west-1,b,b@POST@/spreadb,401
0,us-west-1,c,c@POST@/spreadc,382
0,us-west-1,d,d@POST@/spreadd,392
0,us-west-1,frontend,frontend@GET@/start,393
0,us-west-1,a,a@POST@/spreada,413
0,us-west-1,b,b@POST@/spreadb,409
0,us-west-1,c,c@POST@/spreadc,405
0,us-west-1,d,d@POST@/spreadd,411
0,us-west-1,frontend,frontend@GET@/start,426
0,us-west-1,a,a@POST@/spreada,422
0,us-west-1,b,b@POST@/spreadb,401
0,us-west-1,c,c@POST@/spreadc,427
0,us-west-1,d,d@POST@/spreadd,404
0,us-west-1,frontend,frontend@GET@/start,406
0,us-west-1,a,a@POST@/spreada,421
0,us-west-1,b,b@POST@/spreadb,416
0,us-west-1,c,c@POST@/spreadc,412
0,us-west-1,d,d@POST@/spreadd,412
0,us-west-1,frontend,frontend@GET@/start,401
0,us-west-1,a,a@POST@/spreada,390
0,us-west-1,b,b@POST@/spreadb,388
0,us-west-1,c,c@POST@/spreadc,398
0,us-west-1,d,d@POST@/spreadd,393
0,us-west-1,frontend,frontend@GET@/start,387
0,us-west-1,a,a@POST@/spreada,388
0,us-west-1,b,b@POST@/spreadb,400
0,us-west-1,c,c@POST@/spreadc,394
0,us-west-1,d,d@POST@/spreadd,387
0,us-west-1,frontend,frontend@GET@/start,401
0,us-west-1,a,a@POST@/spreada,413
0,us-west-1,b,b@POST@/spreadb,416
0,us-west-1,c,c@POST@/spreadc,396
0,us-west-1,d,d@POST@/spreadd,430
0,us-west-1,frontend,frontend@GET@/start,406
0,us-west-1,a,a@POST@/spreada,366
0,us-west-1,b,b@POST@/spreadb,346
0,us-west-1,c,c@POST@/spreadc,401
0,us-west-1,d,d@POST@/spreadd,341
0,us-west-1,frontend,frontend@GET@/start,360
