Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6d844db7b9-5zxzm,server,1,197
default,adservice-us-central-1-6d844db7b9-5zxzm,istio-proxy,3,80
default,adservice-us-central-1-6d844db7b9-65hpd,server,1,192
default,adservice-us-central-1-6d844db7b9-65hpd,istio-proxy,5,79
default,adservice-us-central-1-6d844db7b9-gttkf,server,1,193
default,adservice-us-central-1-6d844db7b9-gttkf,istio-proxy,3,80
default,adservice-us-east-1-744bc7d68f-5tdqz,server,1,196
default,adservice-us-east-1-744bc7d68f-5tdqz,istio-proxy,5,81
default,adservice-us-east-1-744bc7d68f-898xt,server,1,195
default,adservice-us-east-1-744bc7d68f-898xt,istio-proxy,5,80
default,adservice-us-east-1-744bc7d68f-l5mkp,server,1,196
default,adservice-us-east-1-744bc7d68f-l5mkp,istio-proxy,5,80
default,adservice-us-south-1-6c9c8c8f49-2xr9q,server,1,196
default,adservice-us-south-1-6c9c8c8f49-2xr9q,istio-proxy,3,79
default,adservice-us-south-1-6c9c8c8f49-cv9r5,server,1,193
default,adservice-us-south-1-6c9c8c8f49-cv9r5,istio-proxy,5,79
default,adservice-us-south-1-6c9c8c8f49-m5gvt,server,0,192
default,adservice-us-south-1-6c9c8c8f49-m5gvt,istio-proxy,6,81
default,adservice-us-west-1-8bb8bb769-85vmt,server,1,194
default,adservice-us-west-1-8bb8bb769-85vmt,istio-proxy,7,79
default,adservice-us-west-1-8bb8bb769-nb2r2,server,1,195
default,adservice-us-west-1-8bb8bb769-nb2r2,istio-proxy,5,80
default,adservice-us-west-1-8bb8bb769-zf57d,server,1,193
default,adservice-us-west-1-8bb8bb769-zf57d,istio-proxy,7,81
default,cartservice-us-central-1-5d8f575644-8trxw,server,259,79
default,cartservice-us-central-1-5d8f575644-8trxw,istio-proxy,188,82
default,cartservice-us-central-1-5d8f575644-kcdbj,server,257,89
default,cartservice-us-central-1-5d8f575644-kcdbj,istio-proxy,175,81
default,cartservice-us-central-1-5d8f575644-znvlt,server,260,82
default,cartservice-us-central-1-5d8f575644-znvlt,istio-proxy,177,82
default,cartservice-us-east-1-6664f5b575-9pf7j,server,172,75
default,cartservice-us-east-1-6664f5b575-9pf7j,istio-proxy,119,81
default,cartservice-us-east-1-6664f5b575-d5m89,server,160,74
default,cartservice-us-east-1-6664f5b575-d5m89,istio-proxy,117,81
default,cartservice-us-east-1-6664f5b575-d7wmc,server,171,64
default,cartservice-us-east-1-6664f5b575-d7wmc,istio-proxy,117,81
default,cartservice-us-south-1-5fc95d7745-7b6wg,server,312,90
default,cartservice-us-south-1-5fc95d7745-7b6wg,istio-proxy,218,83
default,cartservice-us-south-1-5fc95d7745-t9lg7,server,303,91
default,cartservice-us-south-1-5fc95d7745-t9lg7,istio-proxy,225,81
default,cartservice-us-south-1-5fc95d7745-x2pwq,server,305,83
default,cartservice-us-south-1-5fc95d7745-x2pwq,istio-proxy,230,81
default,cartservice-us-west-1-579b47f6c9-l8x69,server,435,118
default,cartservice-us-west-1-579b47f6c9-l8x69,istio-proxy,316,83
default,cartservice-us-west-1-579b47f6c9-pg86l,server,431,119
default,cartservice-us-west-1-579b47f6c9-pg86l,istio-proxy,326,84
default,cartservice-us-west-1-579b47f6c9-tf6g9,server,440,118
default,cartservice-us-west-1-579b47f6c9-tf6g9,istio-proxy,321,83
default,checkoutservice-us-central-1-59b884969b-9jxzs,server,0,9
default,checkoutservice-us-central-1-59b884969b-9jxzs,istio-proxy,6,82
default,checkoutservice-us-central-1-59b884969b-ktph9,server,0,9
default,checkoutservice-us-central-1-59b884969b-ktph9,istio-proxy,6,81
default,checkoutservice-us-central-1-59b884969b-tmdhz,server,0,9
default,checkoutservice-us-central-1-59b884969b-tmdhz,istio-proxy,5,80
default,checkoutservice-us-east-1-797d7f85cc-q292r,server,119,11
default,checkoutservice-us-east-1-797d7f85cc-q292r,istio-proxy,214,81
default,checkoutservice-us-east-1-797d7f85cc-tcqnw,server,123,11
default,checkoutservice-us-east-1-797d7f85cc-tcqnw,istio-proxy,228,82
default,checkoutservice-us-east-1-797d7f85cc-xd8hl,server,120,11
default,checkoutservice-us-east-1-797d7f85cc-xd8hl,istio-proxy,208,80
default,checkoutservice-us-south-1-5df9f8fdd7-6zjpm,server,409,12
default,checkoutservice-us-south-1-5df9f8fdd7-6zjpm,istio-proxy,739,84
default,checkoutservice-us-south-1-5df9f8fdd7-gjrj8,server,404,13
default,checkoutservice-us-south-1-5df9f8fdd7-gjrj8,istio-proxy,742,83
default,checkoutservice-us-south-1-5df9f8fdd7-txqvt,server,394,12
default,checkoutservice-us-south-1-5df9f8fdd7-txqvt,istio-proxy,732,81
default,checkoutservice-us-west-1-77df5d756f-lgcgl,server,314,11
default,checkoutservice-us-west-1-77df5d756f-lgcgl,istio-proxy,573,83
default,checkoutservice-us-west-1-77df5d756f-sphgt,server,306,12
default,checkoutservice-us-west-1-77df5d756f-sphgt,istio-proxy,588,82
default,checkoutservice-us-west-1-77df5d756f-zg5fr,server,313,12
default,checkoutservice-us-west-1-77df5d756f-zg5fr,istio-proxy,596,82
default,currencyservice-us-central-1-f6bdb665-4spnl,server,0,18
default,currencyservice-us-central-1-f6bdb665-4spnl,istio-proxy,4,83
default,currencyservice-us-central-1-f6bdb665-hwhhb,server,0,18
default,currencyservice-us-central-1-f6bdb665-hwhhb,istio-proxy,5,79
default,currencyservice-us-central-1-f6bdb665-m5hdq,server,0,18
default,currencyservice-us-central-1-f6bdb665-m5hdq,istio-proxy,3,82
default,currencyservice-us-east-1-7876c44748-d699k,server,77,30
default,currencyservice-us-east-1-7876c44748-d699k,istio-proxy,58,85
default,currencyservice-us-east-1-7876c44748-hrtb8,server,86,28
default,currencyservice-us-east-1-7876c44748-hrtb8,istio-proxy,56,81
default,currencyservice-us-east-1-7876c44748-j4mzq,server,69,30
default,currencyservice-us-east-1-7876c44748-j4mzq,istio-proxy,60,82
default,currencyservice-us-south-1-56c74746c4-fw99d,server,168,33
default,currencyservice-us-south-1-56c74746c4-fw99d,istio-proxy,177,81
default,currencyservice-us-south-1-56c74746c4-ps8lb,server,190,33
default,currencyservice-us-south-1-56c74746c4-ps8lb,istio-proxy,190,83
default,currencyservice-us-south-1-56c74746c4-q7jnr,server,167,36
default,currencyservice-us-south-1-56c74746c4-q7jnr,istio-proxy,181,81
default,currencyservice-us-west-1-69cb7cf8bd-l4z8n,server,153,31
default,currencyservice-us-west-1-69cb7cf8bd-l4z8n,istio-proxy,152,81
default,currencyservice-us-west-1-69cb7cf8bd-pxzln,server,154,32
default,currencyservice-us-west-1-69cb7cf8bd-pxzln,istio-proxy,156,81
default,currencyservice-us-west-1-69cb7cf8bd-xbm9b,server,158,31
default,currencyservice-us-west-1-69cb7cf8bd-xbm9b,istio-proxy,142,82
default,emailservice-us-central-1-86697b9cdb-2ldsw,server,1,40
default,emailservice-us-central-1-86697b9cdb-2ldsw,istio-proxy,7,83
default,emailservice-us-central-1-86697b9cdb-l5b4h,server,1,40
default,emailservice-us-central-1-86697b9cdb-l5b4h,istio-proxy,6,84
default,emailservice-us-central-1-86697b9cdb-rwtcf,server,1,40
default,emailservice-us-central-1-86697b9cdb-rwtcf,istio-proxy,3,83
default,emailservice-us-east-1-7cb97f9746-84llx,server,45,41
default,emailservice-us-east-1-7cb97f9746-84llx,istio-proxy,41,84
default,emailservice-us-east-1-7cb97f9746-v77n2,server,42,41
default,emailservice-us-east-1-7cb97f9746-v77n2,istio-proxy,42,84
default,emailservice-us-east-1-7cb97f9746-xwnhs,server,43,41
default,emailservice-us-east-1-7cb97f9746-xwnhs,istio-proxy,42,86
default,emailservice-us-south-1-857fd5f76f-j2jvt,server,136,41
default,emailservice-us-south-1-857fd5f76f-j2jvt,istio-proxy,129,85
default,emailservice-us-south-1-857fd5f76f-lt6xx,server,140,41
default,emailservice-us-south-1-857fd5f76f-lt6xx,istio-proxy,125,84
default,emailservice-us-south-1-857fd5f76f-mczqg,server,148,41
default,emailservice-us-south-1-857fd5f76f-mczqg,istio-proxy,132,85
default,emailservice-us-west-1-69bf8689ff-gfjsl,server,108,41
default,emailservice-us-west-1-69bf8689ff-gfjsl,istio-proxy,96,86
default,emailservice-us-west-1-69bf8689ff-rq5dc,server,116,41
default,emailservice-us-west-1-69bf8689ff-rq5dc,istio-proxy,103,84
default,emailservice-us-west-1-69bf8689ff-vzfvs,server,113,41
default,emailservice-us-west-1-69bf8689ff-vzfvs,istio-proxy,105,85
default,frontend-us-central-1-679bf599fc-dj46s,server,343,18
default,frontend-us-central-1-679bf599fc-dj46s,istio-proxy,580,84
default,frontend-us-central-1-679bf599fc-k6nw5,server,347,19
default,frontend-us-central-1-679bf599fc-k6nw5,istio-proxy,592,86
default,frontend-us-central-1-679bf599fc-n8snn,server,346,20
default,frontend-us-central-1-679bf599fc-n8snn,istio-proxy,580,86
default,frontend-us-east-1-85d4f444d5-64bfv,server,150,17
default,frontend-us-east-1-85d4f444d5-64bfv,istio-proxy,249,81
default,frontend-us-east-1-85d4f444d5-dlv4s,server,154,17
default,frontend-us-east-1-85d4f444d5-dlv4s,istio-proxy,249,81
default,frontend-us-east-1-85d4f444d5-kl7vq,server,151,17
default,frontend-us-east-1-85d4f444d5-kl7vq,istio-proxy,260,79
default,frontend-us-south-1-677695c774-bghdf,server,178,17
default,frontend-us-south-1-677695c774-bghdf,istio-proxy,309,82
default,frontend-us-south-1-677695c774-h64p5,server,175,17
default,frontend-us-south-1-677695c774-h64p5,istio-proxy,308,81
default,frontend-us-south-1-677695c774-wdlnp,server,182,17
default,frontend-us-south-1-677695c774-wdlnp,istio-proxy,308,80
default,frontend-us-west-1-745bd49f9d-fzjdz,server,412,21
default,frontend-us-west-1-745bd49f9d-fzjdz,istio-proxy,704,91
default,frontend-us-west-1-745bd49f9d-jstxs,server,392,21
default,frontend-us-west-1-745bd49f9d-jstxs,istio-proxy,692,93
default,frontend-us-west-1-745bd49f9d-t68pc,server,409,20
default,frontend-us-west-1-745bd49f9d-t68pc,istio-proxy,706,91
default,paymentservice-us-central-1-74445f5bb5-9r7tn,server,0,16
default,paymentservice-us-central-1-74445f5bb5-9r7tn,istio-proxy,6,81
default,paymentservice-us-central-1-74445f5bb5-ftl7q,server,0,14
default,paymentservice-us-central-1-74445f5bb5-ftl7q,istio-proxy,6,83
default,paymentservice-us-central-1-74445f5bb5-g99zd,server,0,16
default,paymentservice-us-central-1-74445f5bb5-g99zd,istio-proxy,6,80
default,paymentservice-us-east-1-57dc8d4d59-mx2bd,server,67,24
default,paymentservice-us-east-1-57dc8d4d59-mx2bd,istio-proxy,42,80
default,paymentservice-us-east-1-57dc8d4d59-rwjmf,server,66,24
default,paymentservice-us-east-1-57dc8d4d59-rwjmf,istio-proxy,41,81
default,paymentservice-us-east-1-57dc8d4d59-snlkt,server,71,25
default,paymentservice-us-east-1-57dc8d4d59-snlkt,istio-proxy,44,85
default,paymentservice-us-south-1-5d656ddc89-54s4b,server,134,29
default,paymentservice-us-south-1-5d656ddc89-54s4b,istio-proxy,135,82
default,paymentservice-us-south-1-5d656ddc89-b6qkx,server,123,30
default,paymentservice-us-south-1-5d656ddc89-b6qkx,istio-proxy,136,81
default,paymentservice-us-south-1-5d656ddc89-hfw7h,server,123,30
default,paymentservice-us-south-1-5d656ddc89-hfw7h,istio-proxy,135,83
default,paymentservice-us-west-1-657f56bf87-942rt,server,122,27
default,paymentservice-us-west-1-657f56bf87-942rt,istio-proxy,109,83
default,paymentservice-us-west-1-657f56bf87-hjmbv,server,113,29
default,paymentservice-us-west-1-657f56bf87-hjmbv,istio-proxy,108,81
default,paymentservice-us-west-1-657f56bf87-x95lv,server,104,29
default,paymentservice-us-west-1-657f56bf87-x95lv,istio-proxy,103,82
default,productcatalogservice-us-central-1-b889679b-nrgt8,server,80,9
default,productcatalogservice-us-central-1-b889679b-nrgt8,istio-proxy,156,82
default,productcatalogservice-us-central-1-b889679b-pdbll,server,80,10
default,productcatalogservice-us-central-1-b889679b-pdbll,istio-proxy,156,83
default,productcatalogservice-us-central-1-b889679b-s2sk4,server,79,10
default,productcatalogservice-us-central-1-b889679b-s2sk4,istio-proxy,155,83
default,productcatalogservice-us-east-1-66479c5bfb-4p8tb,server,45,10
default,productcatalogservice-us-east-1-66479c5bfb-4p8tb,istio-proxy,94,82
default,productcatalogservice-us-east-1-66479c5bfb-rxls5,server,45,10
default,productcatalogservice-us-east-1-66479c5bfb-rxls5,istio-proxy,90,83
default,productcatalogservice-us-east-1-66479c5bfb-tbj77,server,44,10
default,productcatalogservice-us-east-1-66479c5bfb-tbj77,istio-proxy,89,84
default,productcatalogservice-us-south-1-6458f49468-9822n,server,73,10
default,productcatalogservice-us-south-1-6458f49468-9822n,istio-proxy,146,83
default,productcatalogservice-us-south-1-6458f49468-fppn4,server,74,10
default,productcatalogservice-us-south-1-6458f49468-fppn4,istio-proxy,151,83
default,productcatalogservice-us-south-1-6458f49468-zsngg,server,74,10
default,productcatalogservice-us-south-1-6458f49468-zsngg,istio-proxy,146,84
default,productcatalogservice-us-west-1-667f55bd96-9nqtj,server,119,10
default,productcatalogservice-us-west-1-667f55bd96-9nqtj,istio-proxy,249,83
default,productcatalogservice-us-west-1-667f55bd96-jvslm,server,118,10
default,productcatalogservice-us-west-1-667f55bd96-jvslm,istio-proxy,240,82
default,productcatalogservice-us-west-1-667f55bd96-m97j8,server,120,10
default,productcatalogservice-us-west-1-667f55bd96-m97j8,istio-proxy,249,84
default,recommendationservice-us-central-1-695f957d67-85mn7,server,154,41
default,recommendationservice-us-central-1-695f957d67-85mn7,istio-proxy,135,85
default,recommendationservice-us-central-1-695f957d67-j87xt,server,160,41
default,recommendationservice-us-central-1-695f957d67-j87xt,istio-proxy,140,85
default,recommendationservice-us-central-1-695f957d67-jbkkd,server,163,41
default,recommendationservice-us-central-1-695f957d67-jbkkd,istio-proxy,147,85
default,recommendationservice-us-east-1-79c99b9d5f-2t266,server,75,41
default,recommendationservice-us-east-1-79c99b9d5f-2t266,istio-proxy,68,84
default,recommendationservice-us-east-1-79c99b9d5f-78czp,server,73,40
default,recommendationservice-us-east-1-79c99b9d5f-78czp,istio-proxy,65,83
default,recommendationservice-us-east-1-79c99b9d5f-v8pw2,server,79,40
default,recommendationservice-us-east-1-79c99b9d5f-v8pw2,istio-proxy,68,84
default,recommendationservice-us-south-1-5cbf78ddc9-76t9s,server,84,40
default,recommendationservice-us-south-1-5cbf78ddc9-76t9s,istio-proxy,75,85
default,recommendationservice-us-south-1-5cbf78ddc9-c5hnj,server,90,40
default,recommendationservice-us-south-1-5cbf78ddc9-c5hnj,istio-proxy,77,83
default,recommendationservice-us-south-1-5cbf78ddc9-vlg69,server,88,40
default,recommendationservice-us-south-1-5cbf78ddc9-vlg69,istio-proxy,81,84
default,recommendationservice-us-west-1-68c48cfcf5-9mmkp,server,206,41
default,recommendationservice-us-west-1-68c48cfcf5-9mmkp,istio-proxy,176,85
default,recommendationservice-us-west-1-68c48cfcf5-f457r,server,190,41
default,recommendationservice-us-west-1-68c48cfcf5-f457r,istio-proxy,159,87
default,recommendationservice-us-west-1-68c48cfcf5-hg2pl,server,217,41
default,recommendationservice-us-west-1-68c48cfcf5-hg2pl,istio-proxy,193,87
default,redis-cart-us-central-1-869cf88b4c-96x9k,redis,20,3
default,redis-cart-us-central-1-869cf88b4c-96x9k,istio-proxy,38,79
default,redis-cart-us-central-1-869cf88b4c-cpxwr,redis,19,3
default,redis-cart-us-central-1-869cf88b4c-cpxwr,istio-proxy,40,78
default,redis-cart-us-central-1-869cf88b4c-dphbc,redis,20,3
default,redis-cart-us-central-1-869cf88b4c-dphbc,istio-proxy,40,78
default,redis-cart-us-east-1-9b8d7dbc5-k484q,redis,1,3
default,redis-cart-us-east-1-9b8d7dbc5-k484q,istio-proxy,3,80
default,redis-cart-us-east-1-9b8d7dbc5-sv6dw,redis,22,3
default,redis-cart-us-east-1-9b8d7dbc5-sv6dw,istio-proxy,45,77
default,redis-cart-us-east-1-9b8d7dbc5-x29hc,redis,12,3
default,redis-cart-us-east-1-9b8d7dbc5-x29hc,istio-proxy,24,79
default,redis-cart-us-south-1-55b78d4799-gwd58,redis,19,3
default,redis-cart-us-south-1-55b78d4799-gwd58,istio-proxy,39,80
default,redis-cart-us-south-1-55b78d4799-qk274,redis,20,3
default,redis-cart-us-south-1-55b78d4799-qk274,istio-proxy,42,77
default,redis-cart-us-south-1-55b78d4799-vrnw9,redis,19,3
default,redis-cart-us-south-1-55b78d4799-vrnw9,istio-proxy,40,80
default,redis-cart-us-west-1-84b8ddbd8c-48trz,redis,54,3
default,redis-cart-us-west-1-84b8ddbd8c-48trz,istio-proxy,115,78
default,redis-cart-us-west-1-84b8ddbd8c-cgg7h,redis,30,3
default,redis-cart-us-west-1-84b8ddbd8c-cgg7h,istio-proxy,61,78
default,redis-cart-us-west-1-84b8ddbd8c-gxqh4,redis,2,3
default,redis-cart-us-west-1-84b8ddbd8c-gxqh4,istio-proxy,5,80
default,shippingservice-us-central-1-669dbc5bc8-97cxw,server,0,8
default,shippingservice-us-central-1-669dbc5bc8-97cxw,istio-proxy,6,81
default,shippingservice-us-central-1-669dbc5bc8-jkqzf,server,0,8
