Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-654cc8bf65-tqjn4,server,2,136
default,adservice-us-central-1-654cc8bf65-tqjn4,istio-proxy,3,82
default,adservice-us-central-1-654cc8bf65-z2rzk,server,2,138
default,adservice-us-central-1-654cc8bf65-z2rzk,istio-proxy,3,83
default,adservice-us-central-1-654cc8bf65-zdh8x,server,2,138
default,adservice-us-central-1-654cc8bf65-zdh8x,istio-proxy,3,82
default,adservice-us-east-1-69f5dc6b57-9ppm6,server,2,139
default,adservice-us-east-1-69f5dc6b57-9ppm6,istio-proxy,3,85
default,adservice-us-east-1-69f5dc6b57-9v4qz,server,2,139
default,adservice-us-east-1-69f5dc6b57-9v4qz,istio-proxy,3,87
default,adservice-us-east-1-69f5dc6b57-tzbwd,server,1,138
default,adservice-us-east-1-69f5dc6b57-tzbwd,istio-proxy,3,82
default,adservice-us-south-1-6d9d968bd9-5gr77,server,2,137
default,adservice-us-south-1-6d9d968bd9-5gr77,istio-proxy,3,83
default,adservice-us-south-1-6d9d968bd9-svzf4,server,3,138
default,adservice-us-south-1-6d9d968bd9-svzf4,istio-proxy,3,83
default,adservice-us-south-1-6d9d968bd9-vbfbv,server,2,139
default,adservice-us-south-1-6d9d968bd9-vbfbv,istio-proxy,3,84
default,adservice-us-west-1-694cbf77f7-4hg89,server,2,138
default,adservice-us-west-1-694cbf77f7-4hg89,istio-proxy,3,84
default,adservice-us-west-1-694cbf77f7-d2qj7,server,2,138
default,adservice-us-west-1-694cbf77f7-d2qj7,istio-proxy,3,85
default,adservice-us-west-1-694cbf77f7-lnbbd,server,3,138
default,adservice-us-west-1-694cbf77f7-lnbbd,istio-proxy,3,85
default,cartservice-us-central-1-79d7d4878c-68npn,server,199,45
default,cartservice-us-central-1-79d7d4878c-68npn,istio-proxy,3,83
default,cartservice-us-central-1-79d7d4878c-pc8l5,server,313,44
default,cartservice-us-central-1-79d7d4878c-pc8l5,istio-proxy,82,84
